date,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
04/01/2020,5.40749769435829e-05,8.151276829588048e-06,4.204543057663841e-05,1.7917840727650148e-05,4.803324335038366e-05,0.0001279796118101661,0.0006246712438939356,0.00014936866507811073,5.623413836852479e-05,9.44498014689415e-05,1.0273008628642381e-05,2.932587949127202e-05,0.00018061663736585452,0.0001634689585701915,5.043218187160405e-05,4.080432117761271e-05,5.056170057627033e-05,0.00036404840706833125,3.520140336261406e-05,0.00018770377014582044,0.0005109854042151888,0.00034994499447763195,6.182405120222384e-05,8.603488495280228e-05,5.178335209059457e-05,1.0134447262639729e-05,3.514431836066526e-05,7.141795524603486e-05,5.5833959954723736e-05,0.0007728232190825255,5.8956146060314494e-05,0.0002555927801049785,3.730647981030707e-05,2.565082557182103e-05,7.934728264772314e-05,5.44970677549933e-05,2.027584580926559e-05,0.00017522497195631917,0.0003332838567680754,4.722216585049072e-05,2.1401939691586785e-05,2.6167803279418502e-05,3.125076028096901e-05,1.1907480706828055e-05,5.283580651527654e-05,6.239498288875368e-05,7.490980367151352e-05,2.506900941202031e-05,5.137793763532279e-05,1.2116617248177747e-05
05/01/2020,7.097340723845255e-05,1.3585461382646746e-06,8.199557391523836e-05,2.2895018707552966e-05,5.5032300903280175e-05,0.000110339178830927,0.00045035083022521976,0.000215979015721052,5.312804828551477e-05,8.456660407929905e-05,6.848672419094921e-07,1.0861436848619266e-05,0.00023044998420384288,0.00014240944408772539,0.0001187192355859499,2.9583132853769213e-05,4.235651232485804e-05,0.0001782700213752406,2.860114023212392e-05,0.0002271522799783615,0.0004718866323289404,0.00016361837372856129,0.00012067074016524711,0.00016430976067456749,7.077599219905715e-05,9.213133875127026e-07,5.348048446188191e-05,5.372431768508027e-05,0.00011891908353993107,0.00045005144444134823,0.00010895095791946119,0.00013440015164413135,4.7733162629085205e-05,4.8736568586459954e-05,0.00010195744750038276,2.7500835117103096e-05,1.1788282447247436e-05,0.0002546141807417919,0.0004134176802532957,4.917349501786637e-05,4.618313301868727e-05,2.385462729891742e-05,3.0908098435782945e-05,2.0761761232418148e-05,7.769971546364197e-06,9.544121456687136e-05,3.888052093677172e-05,1.615558384330198e-05,4.5443192363915865e-05,1.7309453211682497e-05
06/01/2020,6.42140351205047e-05,5.434184553058698e-06,0.00011216771014299218,4.778090860706706e-05,4.6466667291612596e-05,4.1333955706256354e-05,9.977003008066406e-05,0.00013826693997095386,5.053191329076012e-05,7.020799655095058e-05,6.848672419094921e-07,4.88764658187867e-06,0.00013569643739921712,7.481282067897053e-05,5.2624885431239006e-05,1.870198053973916e-05,2.949432533615769e-05,9.37472916257282e-05,8.066988270599054e-06,9.942964568447853e-05,0.00014871751052005774,6.762892780780533e-05,7.618544553248547e-05,0.00010931491264591348,3.960858279029804e-05,4.606566937563513e-06,4.991511883108978e-05,3.603068012412569e-05,9.28148944701901e-05,0.0003613967970065715,6.50875852505872e-05,2.611824809278666e-05,4.5437379256143226e-05,2.4368284293229977e-05,5.67371177950635e-05,1.8670291730877332e-05,1.2731345043027232e-05,8.031144547997963e-05,0.0001329492980550246,5.834474210453192e-05,3.4918954233641594e-05,3.4697639707516244e-05,4.879504675449547e-05,1.8624521105551573e-05,1.5539943092728393e-06,4.379203428673638e-05,2.7864373338019733e-05,9.470514666763228e-06,3.357370182110202e-05,5.192835963504749e-06
07/01/2020,0.00012604240949349837,1.3585461382646747e-05,0.00028314314876693044,6.0057947624160684e-05,7.918789303529847e-05,2.5422976940668135e-05,2.993100902419922e-05,7.569358027606962e-05,0.0001609603696747882,9.305123580059586e-05,5.4789379352759365e-06,5.702254345525115e-05,4.273657913492585e-05,4.727345558651484e-05,4.823947831196909e-05,2.9243096843955775e-05,3.7255989898304455e-05,0.0001525270579997546,1.3200526260980271e-05,4.898728884942601e-05,7.748665701092874e-05,2.568312654284689e-05,2.7847093884287795e-05,0.00020277241512405556,3.8309940731599744e-05,3.59312221129954e-05,2.852292504633702e-05,0.00010455331286018616,3.118000361107949e-05,8.069294366029432e-05,7.121902444085991e-05,8.260885286923053e-06,5.65336655586961e-05,3.206353196477629e-05,5.411196756872474e-05,6.15615024639739e-05,2.7584580926559e-05,3.781170447478467e-05,4.46199698951795e-05,0.0002054749613246559,4.618313301868727e-05,6.62146624418435e-05,0.00023239326340518838,4.1523522464836296e-05,1.5539943092728393e-06,4.991598631100294e-05,3.278923932334415e-05,1.2813049255032604e-05,2.7299828248471846e-05,1.0385671927009498e-05
08/01/2020,0.00011868662218867276,2.037819207397012e-05,0.0001811725031823921,0.00011812502405636024,9.586434785447429e-05,1.7640432979239112e-05,9.422725063173829e-06,2.0184954740285232e-05,0.0002017567767352184,0.00017789755301356403,3.287362761165562e-05,9.286528505569473e-05,4.4686240591811155e-05,5.0218842227419194e-05,7.862408478119637e-05,2.9923168863582654e-05,4.6126463683615035e-05,0.00022632355300948113,6.600263130490136e-06,4.0580229376917255e-05,6.227368031337026e-05,3.07404217308206e-05,3.9931681796337216e-05,0.00026991336455781107,4.626412334112681e-05,4.330172921309702e-05,3.412564246615322e-05,0.0001557040105364003,1.1601861808773763e-05,1.2910870985647092e-05,6.414428691362217e-05,4.94663789636111e-06,7.43259866989964e-05,5.514927497941521e-05,5.504347248774817e-05,9.133304873753506e-05,3.300719085229282e-05,3.742743918540677e-05,4.826241641723496e-05,0.00020293823340706755,3.717178999065073e-05,0.00010322547812986083,0.00016183918948137787,2.9616041758008237e-05,1.5539943092728393e-06,4.887606992952371e-05,4.393498865855204e-05,5.9051444392758954e-05,3.136936786315088e-05,2.5964179817523743e-05
09/01/2020,6.91841616778193e-05,2.4453830488764145e-05,8.800206399761529e-05,0.0001891327632363071,7.251731110762814e-05,1.867810550742965e-05,1.2471253760083008e-05,3.734216626952768e-05,0.00014232382917672804,0.0001240061559266458,4.4516370724116985e-05,5.6479471612820186e-05,5.20169676696999e-05,4.9040687571057454e-05,7.45519210275886e-05,7.88883542767179e-05,5.38881282457618e-05,0.0001104802178197941,7.333625700544595e-06,2.9748056595030976e-05,5.815053709627497e-05,3.321948799943517e-05,3.853057015436047e-05,0.0001707202030828155,9.577485182899935e-05,6.90985040634527e-05,4.787776704206571e-05,9.747585783580433e-05,6.5260472674352414e-06,1.9043534703829462e-05,4.480667100583902e-05,4.550906864652221e-06,8.016110277189059e-05,0.00014877478831656197,5.52128370184797e-05,8.250250535130929e-05,2.239773664977013e-05,3.604408414364636e-05,4.279874663415176e-05,0.00011727488295927654,7.772283361681517e-05,0.00010409291912254873,7.10680666915896e-05,1.557132092431361e-05,0.0,7.036767514676109e-05,2.6049949027637052e-05,7.353576094192624e-05,3.713454898394617e-05,2.0771343854018997e-05
10/01/2020,8.449215147434829e-05,3.532219959488154e-05,4.28835454718538e-05,0.00019046001069761455,4.49506259444148e-05,3.9950392335335635e-05,2.9099592106860355e-05,6.862884611696979e-05,0.0001087131529053509,8.559221890275251e-05,5.410451211084987e-05,8.580535110409221e-05,8.851463014259278e-05,0.00010588664974051144,0.0001118278815413829,0.00011935263944451717,6.608502970056386e-05,8.73115507818567e-05,4.400175420326757e-06,3.314321522815951e-05,7.435875526002887e-05,5.920010249451581e-05,7.478433389050873e-05,0.00011774970528834507,0.00014577257108888377,0.0001778134837899516,8.200340950821893e-05,4.375154015072406e-05,3.045488724803113e-05,2.4423064281182417e-05,6.79174802614823e-05,1.122886802473972e-05,7.690874299355611e-05,0.0003539813928911302,4.115558096776248e-05,0.00014583011649252836,3.088530001178828e-05,5.049245902425513e-05,8.468688163778965e-05,9.79567242022576e-05,0.0002264099935794181,0.00012317662096168267,8.922914448645098e-05,4.732460280918842e-05,0.0,4.714287596039166e-05,3.0326806330681943e-05,5.738017709862427e-05,0.00012751224125994302,5.8852140919720485e-05
11/01/2020,0.0001322053664245685,5.162475325405764e-05,9.861818600367681e-05,0.00018382377339107745,3.901279733455674e-05,0.00014250702720483362,0.00011750692431722657,6.761959837995553e-05,8.761955607296938e-05,0.00014302664901614634,1.643681380582781e-05,0.0001792137080022179,0.0002383266164896595,0.00022090399806782635,0.0002236557630827658,0.00018055912121093623,0.00010067987746327512,0.00011348356354693415,5.133537990381217e-05,9.053756355009428e-05,0.00010720172364447757,0.00020427506053384014,0.00020053410375792154,0.0001697080279657237,0.0001590836521905413,0.0002966629107790902,0.00021697796553106374,0.00012385546292668207,3.2630236337176206e-05,7.843354123780609e-05,0.0002655384818556565,3.897950662332555e-05,8.618753412586327e-05,0.0005463625846797879,0.00010542942038037918,0.00025785186687779234,5.7762583991512436e-05,0.0001341854390507602,0.00019031783077739825,0.00010283504712069674,0.000575599535915834,0.00018577694593399324,0.00016608819636168505,8.426832500216777e-05,2.1755920329819753e-05,5.257355039700541e-05,5.6895162304142616e-05,0.00016768381851151363,0.00025451579006805115,0.0002475251809270597
12/01/2020,0.0002453254468690489,0.00011411787561423267,0.00032518857934356885,0.0003978424265268987,0.00017080732511761892,0.0003050757232880176,0.0002646677186862061,0.00015441490376318204,0.00013880050311241817,0.00013454201729484953,3.081902588592714e-05,0.00025850219699713857,0.000393207722624628,0.0003692042154373605,0.0004595280174263549,0.00044850749694392634,0.00015079805435027992,0.00022160400972397537,0.00010267075980762433,0.00020241612422271075,0.00022961642398651363,0.0003231710787765947,0.0002991373355620349,0.0003336803969345939,0.0002490146147553983,0.0002423054209158408,0.0002994907129865387,0.0003152684510860998,0.00016677676350112283,0.00022346565864324176,0.0004306156908245371,0.0001305912404639333,0.0001400427857494604,0.0004411941998353217,0.00020442298859296013,0.00039131922262960464,0.00012754921607921726,0.0004342966300548946,0.0004698756013451555,0.0002249882529984124,0.0006082656543924665,0.00032803726873480984,0.00024150806848713768,0.00011846416703203295,0.00010100963010273456,0.00011600844966723832,8.501873911507416e-05,0.00033592472612107216,0.0002785938994549021,0.0003600366268029959
01/01/2021,0.000559835055415917,7.472003760455711e-05,0.0005739690174066686,0.00039286524854699586,0.00037741849338489254,0.0001328220836083886,0.00031150420502962895,0.00017258136302943875,0.00023235408203054102,0.00030619264365646976,8.218406902913905e-05,0.00016237848088685805,0.00024175802065377764,0.00023828177924916204,0.00031574931258743406,0.0003162334891264985,0.00025657845424010867,0.0003054831653891006,0.00019067426821415948,0.00019740422338333056,0.00030710308099744235,0.000249691554574859,0.00015552339225941863,0.00043591008376086485,0.00019609495086344276,0.00025151855479096783,0.00012835316270851658,0.0003641672312545561,0.0002182600252775564,0.00025316066191023007,0.00037401779060663515,0.00017842522892174523,0.00024813591955881166,0.00014364462320219776,0.00019205937784955824,0.0003837501854414111,0.00011340327714252033,0.00042061678575304164,0.000384278108076852,0.00040743753014803563,0.0003266611847663246,0.00041145617753163017,0.0003338554357647818,0.00011907480706828055,5.90517837523679e-05,0.00016176477045232434,0.00011106868814271122,0.0003715784283959455,0.00020042482602294237,0.0002734893607445834
02/01/2021,0.00044591975472226637,5.0266207115792964e-05,0.0003988030043066534,0.00011779321219103338,0.0002851673774079064,5.378602604454279e-05,0.00014743793334142578,0.000323968523581578,0.00019999511370306344,0.00029220698697301345,1.986115001537527e-05,7.168548320088717e-05,0.00011588787699726245,0.00038378387930983703,0.0001772957449647695,0.0003179336691755657,0.00019337632851977073,0.00015359968147373316,6.233581845462905e-05,0.0001159204161882457,0.00021397691523201425,9.747688568192469e-05,4.9739463290174425e-05,0.00019973588977278018,0.00019219902468734786,0.00011332154666406241,8.353142334998698e-05,0.00021843599825251202,8.048791629836798e-05,0.00018935944112282403,0.00020469573912141193,8.523057095430193e-05,0.0001828974087110439,3.206353196477629e-05,0.0005179167349770274,0.00012715982476165102,5.988447483201697e-05,0.0001797593023709783,0.0001666419283840377,0.0001955231825710401,0.00012390596663550244,0.0002411485959672379,0.0001695490809980643,8.304704492967259e-05,4.6619829278185186e-05,0.00028031523794095633,8.437073043279463e-05,0.00015152823466821165,9.800807905352004e-05,0.00012982089908761873
03/01/2021,0.00012365674874598737,1.6302553659176097e-05,0.00013940644423749216,0.00012807938001616588,0.00014897632971797058,2.8535994525239743e-05,6.900760413912599e-05,0.00013826693997095386,0.00011566708592701514,0.0001625133306617621,1.643681380582781e-05,5.2134896873372484e-05,6.566459786789702e-05,6.671300741648356e-05,8.739489901973622e-05,5.746608565847123e-05,0.00032288524578530527,0.00011434166232611701,3.0067865372232838e-05,6.69331273388197e-05,0.0001498549293385668,6.49515362377016e-05,6.725335881488373e-05,0.00011032708776300527,9.236591642491633e-05,7.462638438852891e-05,4.940578088383376e-05,9.618904783137127e-05,5.438372722862701e-05,0.0001418043996590239,0.0001004612728867759,3.873217472850749e-05,8.437003895561753e-05,2.4368284293229977e-05,0.00010712306568769451,2.825773883592245e-05,4.078745726747613e-05,8.407724531588298e-05,7.011709554956778e-05,8.000449586240164e-05,5.632089392522838e-05,7.141930839797094e-05,6.113087318119377e-05,5.648420335290231e-05,3.418787480400247e-05,0.00015436980951736095,3.797330878158038e-05,0.0002133651245511951,5.290401499082743e-05,5.019741431387924e-05
